item_id,label,orig_len,resample_len,len_diff,orig_caption,resample_caption,group
37493682966,0.18057224564182084,126,126,0,Let the madness begin!!! #themazz #statefairoftexas #statefairoftx #annualtradition #gigglesgalore #texassizefun via Instagram,Join the fairytale fun at the State Fair of Texas! 🎡✨ #themazz #statefairoftexas #annualtradition #gigglesgalore #texassizefun,2
37539810631,0.18057224564182084,129,131,2,"Famous Celebrity Quotes : … via Quotes Boxes | You number one source for daily inspirational quotes, saynings &amp; famous quotes",Map out your future like Jon Bon Jovi says - but do it in pencil! The road ahead is as long as you make it. Make it worth the trip.,2
37460606096,0.18057224564182084,90,94,4,Artificial Grass Preparation Costs in Newtownabbey #Synthetic... via Artificial Grass Cost,Discover the secrets behind preparing artificial grass in Newtownabbey! 🌿 #SyntheticGrassCosts,1
49108236753,0.18057224564182084,56,50,6,2019-11-20 02.04.34 1 Processed with VSCO with a4 preset,"A dog's adventure through the vast, open field. 🐶✨",2
37279975990,0.18057224564182084,90,84,6,Moth Infestation in Denbighshire #Moth #Removal #Denbighshire... via Pest Control Services,Discover the stunning world of moths! 🦋✨ #Moths #NaturePhotography #SurprisingBeauty,1
36798644494,0.22239242133644802,129,123,6,"Designing artwork for Bubble Mailers with 18% OFF Customizing Bubble Mailers up to 18% off with free consultation by Nov 15, 2017","Upgrade your packaging game with custom bubble mailers! Save up to 18% now and get a free consultation before Nov 15, 2017.",2
49104980571,0.18057224564182084,125,118,7,Our client from Pakistan sent a photo near to the Flame Towers Our client from Pakistan sent a photo near to the Flame Towers,"Exploring the iconic Flame Towers in Baku, Azerbaijan - a stunning blend of modern architecture and cultural heritage!",1
36832521244,0.18057224564182084,32,40,8,9 Photo-by-[IZDESIGNER-VIET-NAM],Melted Masterpiece: When Art Meets Chaos,2
37542437061,0.18057224564182084,29,38,9,nan Processed with Rookie Cam,Mãi mãi không quên... thuở ban đầu! 🌅✨,1
37471435672,0.22239242133644802,84,75,9,"Obama s FEMA chief: To rebuild after hurricanes, let s talk climate change via Grist",FEMA Chief: How Climate Change Shapes Our Recovery Efforts After Hurricanes,2
36828647454,0.18057224564182084,55,65,10,LOVE QUOTE : Photo LOVE QUOTE :    قالب وردپرس  - #Love,Reflect on your life choices: One decision can change everything.,1
36840129733,0.18057224564182084,44,55,11,59d5f6e7aabf7.jpg by-[ChipVN]-Image-Uploader,Unveiling the unexpected twists in this manga scene! 📖✨,1
37508413271,0.18057224564182084,125,137,12,Chỉ còn 8 tiếng nữa thôi. Nhanh chóng đặt bánh sữa để được tặng thêm 1 hộp 150g và FREE SHIP TOÀN QUỐC nhân dịp TẾT TRUNG THU,Chỉ còn 8 tiếng nữa thôi! Đặt ngay bánh sữa để nhận ngay 1 hộp 150g miễn phí và giao hàng toàn quốc. Hạn chót 05/10/2017 - TẾT TRUNG THU!,2
37496117046,0.22239242133644802,68,54,14,@M_DesyJKT48 udah diarsip @M_DesyJKT48 : Log out Des  (via Twitter ),@M_DesyJKT48: How to log out gracefully? 🤔 #LogoutTips,1
36830903203,0.22239242133644802,159,177,18,"Thermawood Wairarapa, Wairarapa, (06) 3795619 Thermawood Wairarapa - Find out how the 100% New Zealand made Thermawood dual glazing technology can enhance t...",Enhance your home's energy efficiency with Thermawood dual glazing technology! Save up to 31% on heating costs by reducing heat loss through windows and up to 25% through walls.,1
49107941492,0.18057224564182084,26,46,20,So soothing. via Instagram,Experience the magic of nature illuminated! 🌲✨,2
37542497161,0.22239242133644802,142,162,20,Exacto.! 😌 Sigue a @adictosaloscorridos ➡ @teamcorridosvip ____________________ #teamcorridosvip #corridosvip #quotes #frasesvip via Instagram,"¡Celebra con estilo! 🎉 Una torta de Modelo Especial que no te puedes perder. ¿Y tú, ¿cómo celebras tus fiestas? 🎉 #teamcorridosvip #corridosvip #quotes #frasesvip",1
23685043698,0.18057224564182084,27,48,21,Me my Sis and my cousin nan,Sibling love in action! 🥰 #FamilyBond #CousinFun,2
49106228471,0.22239242133644802,194,172,22,"Creêp de Salmon La mejores Creêp de España Cordoba, Av del brillante C/ Peta Emilio Prados. Donde tendras la atencion de sus propios dueños..  con esta imagen reclama tu extra de frutas o toping","Indulge in the best Crepe de Salmon in Spain! Try it at Le Petit Bonbon in Córdoba, where you'll enjoy the authentic taste and attentive service from the owners themselves.",2
37474100702,0.22239242133644802,100,123,23,"Don t mess with Hong Kong s bo lo bao! Don t mess with Hong Kong s bo lo bao!:  food, pineapple buns",Sink your teeth into Hong Kong's iconic bo lo bao - a culinary delight that's as much about tradition as it is about taste!,2
49105673161,0.18057224564182084,27,51,24,Random stuff in my life nan,"Meet my furry companion, Nan! 🐶✨ #DogLover #PetLife",2
49104957233,0.22239242133644802,103,79,24,All Mobile Software Solution Bangla Tutorial & Tips All Mobile Software Solution Bangla Tutorial & Tips,Unlock the Secrets of Mobile Software Solutions: Expert Tips & Tricks in Bangla,2
49104908356,0.18057224564182084,35,61,26,Secret Beach Surf View on Instagram,Mastering the wave: Catch the perfect moment at Secret Beach!,1
36798517154,0.18057224564182084,71,101,30,#HappyBirthday to Kea from Everett Gardner at Hixson Ford of Leesville!,#HappyBirthday Kea! 🎉 Your new Pontiac G6 is ready to hit the road with you. 🚗 #HixsonFord #Leesville,2
49108234697,0.18057224564182084,103,133,30,#25/365 #blythe365 #chailatte #homebarista #destress #jjdollies #billiejean #relaxing View on Instagram,#25/365 #blythe365 🍵✨ My homemade Chai Latte creation with my Blythe dolls! 🌟 #homebarista #destress #jjdollies #billiejean #relaxing,1
37469153312,0.22239242133644802,54,84,30,Capture : Sawdia Rakib  Flower  Device : Primo NX4 nan,Discover the delicate charm of this Sawdia Rakib flower! 🌸 #NatureLover #FlowerPower,1
37511418692,0.22239242133644802,19,51,32,Photo via Instagram,Dressed to impress! 🖤 #StyleVibes #PersonalityPunch,1
23654859488,0.18057224564182084,15,48,33,DSC8530.JPG nan,Rockin' the cowboy hat! 🤠 #CountryStyle #Fashion,1
49107343748,0.18057224564182084,30,63,33,BONDING TIME WITH MY KIDS! nan,Capturing the essence of our 'SCHOOL TIME' moments together! 📚✨,1
36833996804,0.22239242133644802,57,91,34,LOVE QUOTE  - Photo LOVE QUOTE  - Photo - QuotesViral.net,"Ever since I met you, I've been thinking about spending my whole life hanging out with you.",1
49106384486,0.18057224564182084,137,101,36,"Phil Colclough, Knox Zoo director of education and animal care, share his knowledge and handling of several snakes with the scouts. YIKES","Meet Phil Colclough, Knox Zoo's snake whisperer! 🐍✨ Learn about these fascinating creatures up close.",1
37507881381,0.18057224564182084,48,85,37,#fox https://t.co/AJYH3QZAFx from my tumblr blog,#fox 🐺 Adorable fox caught in a moment of peaceful slumber! 🐾 #naturelovers #wildlife,2
36831809434,0.18057224564182084,18,55,37,Photo via Facebook,Relax and game with friends! 🎮 #GamingSetup #Relaxation,1
36873176143,0.22239242133644802,135,98,37,Tendance Robe du mariage 2017/2018 – Kittychen Couture wedding dress | trib.al/ZKfxojR… via FlashMag – Fashion &amp; Lifestyle Magazine,Swoon over this stunning Kittychen Couture wedding dress! 🌸✨ #WeddingDress #ElegantDesign #Fashion,1
37471356942,0.18057224564182084,16,54,38,DSC_9262.jpg nan,Capturing pure joy with a smile and a splash of color!,2
37248864820,0.22239242133644802,23,62,39,D-2017-10-05-1500_f nan,Fisheye view of the sky: capturing the city's vibrant horizon!,1
36833270844,0.18057224564182084,21,62,41,14th and Buchanan nan,A quiet corner of 14th and Buchanan: where past meets present.,2
36831916234,0.22239242133644802,36,82,46,ASEAN India Music Festival- 2017 nan,Experience the colorful fusion of cultures at the ASEAN India Music Festival 2017!,2
23690748078,0.18057224564182084,31,78,47,14th and Buchanan. Petworth nan,Capturing the charm of 14th and Buchanan at night - a cozy corner in Petworth.,2
37495949746,0.22239242133644802,22,69,47,Game One Nats Park nan,Elevate your game day experience at Nationals Park! 🏟️ #BaseballFever,2
