item_id,label,orig_len,resample_len,len_diff,orig_caption,resample_caption,group
37493682966,0.18057224564182084,126,126,0,Let the madness begin!!! #themazz #statefairoftexas #statefairoftx #annualtradition #gigglesgalore #texassizefun via Instagram,Join the fairytale fun at the State Fair of Texas! 🎡✨ #themazz #statefairoftexas #annualtradition #gigglesgalore #texassizefun,2
37539810631,0.18057224564182084,129,131,2,"Famous Celebrity Quotes : … via Quotes Boxes | You number one source for daily inspirational quotes, saynings &amp; famous quotes",Map out your future like Jon Bon Jovi says - but do it in pencil! The road ahead is as long as you make it. Make it worth the trip.,1
37471435672,0.22239242133644802,84,87,3,"Obama s FEMA chief: To rebuild after hurricanes, let s talk climate change via Grist",FEMA Chief W. Craig Fugate: How Climate Change Shapes Our Response to Natural Disasters,1
37460606096,0.18057224564182084,90,94,4,Artificial Grass Preparation Costs in Newtownabbey #Synthetic... via Artificial Grass Cost,Discover the secrets behind preparing artificial grass in Newtownabbey! 🌿 #SyntheticGrassCosts,1
36798644494,0.22239242133644802,129,123,6,"Designing artwork for Bubble Mailers with 18% OFF Customizing Bubble Mailers up to 18% off with free consultation by Nov 15, 2017","Upgrade your packaging game with custom bubble mailers! Save up to 18% now and get a free consultation before Nov 15, 2017.",2
49104980571,0.18057224564182084,125,118,7,Our client from Pakistan sent a photo near to the Flame Towers Our client from Pakistan sent a photo near to the Flame Towers,"Exploring the iconic Flame Towers in Baku, Azerbaijan - a stunning blend of modern architecture and cultural heritage!",2
37542437061,0.18057224564182084,29,37,8,nan Processed with Rookie Cam,Mãi mãi không quên... thuở ban đầu! 🌅,1
36832521244,0.18057224564182084,32,40,8,9 Photo-by-[IZDESIGNER-VIET-NAM],Melted Masterpiece: When Art Meets Chaos,2
36828647454,0.18057224564182084,55,65,10,LOVE QUOTE : Photo LOVE QUOTE :    قالب وردپرس  - #Love,Reflect on your life choices: One decision can change everything.,2
36798517154,0.18057224564182084,71,81,10,#HappyBirthday to Kea from Everett Gardner at Hixson Ford of Leesville!,#HappyBirthday Kea! 🎉 Celebrate with a new ride from Hixson Ford of Leesville! 🚗✨,2
37279975990,0.18057224564182084,90,101,11,Moth Infestation in Denbighshire #Moth #Removal #Denbighshire... via Pest Control Services,Unveiling the Intricate Beauty of Moths: A Close-Up Look at Nature's Artistry #Moths #Nature #CloseUp,1
37495949746,0.22239242133644802,22,33,11,Game One Nats Park nan,Epic Crowd Energy at Game One! 🏟️,1
37504590401,0.18057224564182084,60,76,16,Raw Official Trailer #1 (2017) Horror Movie HD  Viral Newest,Get ready to scream! The raw terror of the new horror movie trailer is here.,2
37542497161,0.22239242133644802,142,159,17,Exacto.! 😌 Sigue a @adictosaloscorridos ➡ @teamcorridosvip ____________________ #teamcorridosvip #corridosvip #quotes #frasesvip via Instagram,¡Celebra con estilo! 🎉 Una torta de Modelo Especial que no te puedes perder. ¿Te atreves a comerla? 🤔 #teamcorridosvip #corridosvip #ModeloEspecial #uniquecake,2
37496117046,0.22239242133644802,68,50,18,@M_DesyJKT48 udah diarsip @M_DesyJKT48 : Log out Des  (via Twitter ),@M_DesyJKT48: How to log out smoothly? 🤔 #TechTips,1
37508413271,0.18057224564182084,125,144,19,Chỉ còn 8 tiếng nữa thôi. Nhanh chóng đặt bánh sữa để được tặng thêm 1 hộp 150g và FREE SHIP TOÀN QUỐC nhân dịp TẾT TRUNG THU,Chỉ còn 8 tiếng nữa thôi! Đặt ngay bánh sữa để nhận ngay 1 hộp 150g miễn phí và giao hàng toàn quốc. Hạn chót: 05/10/2017. #BánhSữa #TếtTrungThu,1
23685043698,0.18057224564182084,27,48,21,Me my Sis and my cousin nan,Sibling love in action! 🤗 #FamilyBond #CousinFun,1
49106228471,0.22239242133644802,194,172,22,"Creêp de Salmon La mejores Creêp de España Cordoba, Av del brillante C/ Peta Emilio Prados. Donde tendras la atencion de sus propios dueños..  con esta imagen reclama tu extra de frutas o toping","Indulge in the best Crepe de Salmon in Spain! Try it at Le Petit Bonbon in Córdoba, where you'll enjoy the authentic taste and attentive service from the owners themselves.",1
49108236753,0.18057224564182084,56,79,23,2019-11-20 02.04.34 1 Processed with VSCO with a4 preset,A lone adventurer: 🐶 exploring the vast field under the watchful eye of nature.,2
37474100702,0.22239242133644802,100,123,23,"Don t mess with Hong Kong s bo lo bao! Don t mess with Hong Kong s bo lo bao!:  food, pineapple buns",Sink your teeth into Hong Kong's iconic bo lo bao - a culinary delight that's as much about tradition as it is about taste!,1
36873176143,0.22239242133644802,135,112,23,Tendance Robe du mariage 2017/2018 – Kittychen Couture wedding dress | trib.al/ZKfxojR… via FlashMag – Fashion &amp; Lifestyle Magazine,Elevate your wedding day with Kittychen Couture's stunning lace mermaid gown! 🌸✨ #WeddingDress #KittychenCouture,1
49104957233,0.22239242133644802,103,79,24,All Mobile Software Solution Bangla Tutorial & Tips All Mobile Software Solution Bangla Tutorial & Tips,Unlock the Secrets of Mobile Software Solutions: Expert Tips & Tricks in Bangla,2
37493702046,0.18057224564182084,44,69,25,59d836950f18b.jpg by-[ChipVN]-Image-Uploader,Unveiling the Heartache: A Manga Panel That Tugs at Your Heartstrings,2
23654859488,0.18057224564182084,15,41,26,DSC8530.JPG nan,Rockin' the cowboy hat! 🤠 #Style #Fashion,1
36830903203,0.22239242133644802,159,187,28,"Thermawood Wairarapa, Wairarapa, (06) 3795619 Thermawood Wairarapa - Find out how the 100% New Zealand made Thermawood dual glazing technology can enhance t...","Enhance your home's energy efficiency with Thermawood dual glazing technology! Reduce up to 31% heat lost through windows, 25% through ceilings, 25% through walls, and 14% through floors.",2
49104908356,0.18057224564182084,35,64,29,Secret Beach Surf View on Instagram,Feel the rush at Secret Beach! 🌊🏄‍♂️ #SurfVibes #OceanAdventures,2
37511418692,0.22239242133644802,19,49,30,Photo via Instagram,Dressed to impress! 🚗✨ #StyleOnTheGo #Fashionista,1
37284522620,0.18057224564182084,60,91,31,1507346867-vivo-v7-smartphone-tran-vien-gia-8-trieu-dong nan,Experience the Vivo V7: A Smartphone with Style & Functionality! 📱✨ #TechReview #Smartphone,1
37506609192,0.22239242133644802,18,49,31,DSC_5949-2.jpg nan,A tender moment captured between love and nature.,2
49108234697,0.18057224564182084,103,135,32,#25/365 #blythe365 #chailatte #homebarista #destress #jjdollies #billiejean #relaxing View on Instagram,#25/365 #blythe365 🍵✨ My homemade Chai Latte creation with my Blythe dolls! 🌸☕️ #homebarista #destress #jjdollies #billiejean #relaxing,1
36838624813,0.18057224564182084,15,47,32,IMG6227.JPG nan,A radiant smile that captures joy and warmth! 🌟,2
49107343748,0.18057224564182084,30,63,33,BONDING TIME WITH MY KIDS! nan,Capturing the essence of our 'SCHOOL TIME' moments together! 📚✨,2
37476022242,0.22239242133644802,24,59,35,FB_IMG_1507183110397 nan,Nature's Masterpiece: The Graceful Pelican in Black & White,1
49106384486,0.18057224564182084,137,101,36,"Phil Colclough, Knox Zoo director of education and animal care, share his knowledge and handling of several snakes with the scouts. YIKES","Meet Phil Colclough, Knox Zoo's snake whisperer! 🐍✨ Learn about these fascinating creatures up close.",2
37507881381,0.18057224564182084,48,85,37,#fox https://t.co/AJYH3QZAFx from my tumblr blog,#fox 🐺 Adorable fox caught in a moment of peaceful slumber! 🐾 #naturelovers #wildlife,2
37469153312,0.22239242133644802,54,92,38,Capture : Sawdia Rakib  Flower  Device : Primo NX4 nan,"A delicate Sawdria Rakib flower blooms under the soft light, evoking a sense of tranquility.",1
37248864820,0.22239242133644802,23,62,39,D-2017-10-05-1500_f nan,Fisheye view of the sky: capturing the city's vibrant horizon!,2
37471356942,0.18057224564182084,16,57,41,DSC_9262.jpg nan,Capturing a moment of pure joy! 🌟 #HappyFace #Fashionista,1
36833270844,0.18057224564182084,21,62,41,14th and Buchanan nan,A quiet corner of 14th and Buchanan: where past meets present.,2
36840129733,0.18057224564182084,44,86,42,59d5f6e7aabf7.jpg by-[ChipVN]-Image-Uploader,Explore the hilarious and unexpected twists in this manga scene! #Manga #Entertainment,1
