doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence;item_id;version
1;27.01.26 03:30;@M_DesyJKT48 udah diarsip @M_DesyJKT48 : Log out Des  (via Twitter );https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/37496117046.jpg;;83;4;2;User01;@user01;Sharing moments that matter;https://ui-avatars.com/api/?name=User01&size=150&background=random;1272;0;0;;pair_g1_A;19;37496117046;origin
1;27.01.26 03:30;@M_DesyJKT48: How to log out smoothly? 🤔 #TechTips;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/37496117046.jpg;;83;4;2;User01;@user01;Sharing moments that matter;https://ui-avatars.com/api/?name=User01&size=150&background=random;1272;0;0;;pair_g1_B;19;37496117046;resample
2;21.01.26 00:15;Chỉ còn 8 tiếng nữa thôi! Đặt ngay bánh sữa để nhận ngay 1 hộp 150g miễn phí và giao hàng toàn quốc. Hạn chót: 05/10/2017. #BánhSữa #TếtTrungThu;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/37508413271.jpg;;16;6;2;User02;@user02;Sharing moments that matter;https://ui-avatars.com/api/?name=User02&size=150&background=random;1616;0;0;;pair_g1_A;13;37508413271;resample
2;21.01.26 00:15;Chỉ còn 8 tiếng nữa thôi. Nhanh chóng đặt bánh sữa để được tặng thêm 1 hộp 150g và FREE SHIP TOÀN QUỐC nhân dịp TẾT TRUNG THU;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/37508413271.jpg;;16;6;2;User02;@user02;Sharing moments that matter;https://ui-avatars.com/api/?name=User02&size=150&background=random;1616;0;0;;pair_g1_B;13;37508413271;origin
3;11.09.26 12:45;1507346867-vivo-v7-smartphone-tran-vien-gia-8-trieu-dong;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/37284522620.jpg;;34;7;3;User03;@user03;Sharing moments that matter;https://ui-avatars.com/api/?name=User03&size=150&background=random;11809;0;0;;pair_g1_A;15;37284522620;origin
3;11.09.26 12:45;Experience the Vivo V7: A Smartphone with Style & Functionality! 📱✨ #TechReview #Smartphone;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/37284522620.jpg;;34;7;3;User03;@user03;Sharing moments that matter;https://ui-avatars.com/api/?name=User03&size=150&background=random;11809;0;0;;pair_g1_B;15;37284522620;resample
4;18.03.26 09:00;Sibling love in action! 🤗 #FamilyBond #CousinFun;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/23685043698.jpg;;49;5;0;User04;@user04;Sharing moments that matter;https://ui-avatars.com/api/?name=User04&size=150&background=random;9177;0;0;;pair_g1_A;20;23685043698;resample
4;18.03.26 09:00;Me my Sis and my cousin;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/23685043698.jpg;;49;5;0;User04;@user04;Sharing moments that matter;https://ui-avatars.com/api/?name=User04&size=150&background=random;9177;0;0;;pair_g1_B;20;23685043698;origin
5;03.09.26 13:45;#25/365 #blythe365 #chailatte #homebarista #destress #jjdollies #billiejean #relaxing View on Instagram;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/49108234697.jpg;;83;3;1;User05;@user05;Sharing moments that matter;https://ui-avatars.com/api/?name=User05&size=150&background=random;1988;0;0;;pair_g1_A;4;49108234697;origin
5;03.09.26 13:45;#25/365 #blythe365 🍵✨ My homemade Chai Latte creation with my Blythe dolls! 🌸☕️ #homebarista #destress #jjdollies #billiejean #relaxing;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/49108234697.jpg;;83;3;1;User05;@user05;Sharing moments that matter;https://ui-avatars.com/api/?name=User05&size=150&background=random;1988;0;0;;pair_g1_B;4;49108234697;resample
6;14.01.26 10:45;Mãi mãi không quên... thuở ban đầu! 🌅;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/37542437061.jpg;;74;7;0;User06;@user06;Sharing moments that matter;https://ui-avatars.com/api/?name=User06&size=150&background=random;5038;0;0;;pair_g1_A;2;37542437061;resample
6;14.01.26 10:45; Processed with Rookie Cam;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/37542437061.jpg;;74;7;0;User06;@user06;Sharing moments that matter;https://ui-avatars.com/api/?name=User06&size=150&background=random;5038;0;0;;pair_g1_B;2;37542437061;origin
7;07.07.26 00:15;59d5f6e7aabf7.jpg by-[ChipVN]-Image-Uploader;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/36840129733.jpg;;71;6;1;User07;@user07;Sharing moments that matter;https://ui-avatars.com/api/?name=User07&size=150&background=random;2178;0;0;;pair_g1_A;9;36840129733;origin
7;07.07.26 00:15;Explore the hilarious and unexpected twists in this manga scene! #Manga #Entertainment;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/36840129733.jpg;;71;6;1;User07;@user07;Sharing moments that matter;https://ui-avatars.com/api/?name=User07&size=150&background=random;2178;0;0;;pair_g1_B;9;36840129733;resample
8;12.08.26 11:45;DSC8530.JPG;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/23654859488.jpg;;36;3;4;User08;@user08;Sharing moments that matter;https://ui-avatars.com/api/?name=User08&size=150&background=random;2275;0;0;;pair_g1_A;17;23654859488;origin
8;12.08.26 11:45;Rockin' the cowboy hat! 🤠 #Style #Fashion;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/23654859488.jpg;;36;3;4;User08;@user08;Sharing moments that matter;https://ui-avatars.com/api/?name=User08&size=150&background=random;2275;0;0;;pair_g1_B;17;23654859488;resample
9;01.06.26 12:15;Elevate your wedding day with Kittychen Couture's stunning lace mermaid gown! 🌸✨ #WeddingDress #KittychenCouture;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/36873176143.jpg;;44;4;2;User09;@user09;Sharing moments that matter;https://ui-avatars.com/api/?name=User09&size=150&background=random;2258;0;0;;pair_g1_A;18;36873176143;resample
9;01.06.26 12:15;"Tendance Robe du mariage 2017/2018 – Kittychen Couture wedding dress | trib.al/ZKfxojR… via FlashMag – Fashion &amp; Lifestyle Magazine";https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/36873176143.jpg;;44;4;2;User09;@user09;Sharing moments that matter;https://ui-avatars.com/api/?name=User09&size=150&background=random;2258;0;0;;pair_g1_B;18;36873176143;origin
10;06.10.26 03:00;"Famous Celebrity Quotes : … via Quotes Boxes | You number one source for daily inspirational quotes, saynings &amp; famous quotes";https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/37539810631.jpg;;24;7;4;User10;@user10;Sharing moments that matter;https://ui-avatars.com/api/?name=User10&size=150&background=random;1271;0;0;;pair_g1_A;5;37539810631;origin
10;06.10.26 03:00;Map out your future like Jon Bon Jovi says - but do it in pencil! The road ahead is as long as you make it. Make it worth the trip.;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/37539810631.jpg;;24;7;4;User10;@user10;Sharing moments that matter;https://ui-avatars.com/api/?name=User10&size=150&background=random;1271;0;0;;pair_g1_B;5;37539810631;resample
11;24.10.26 22:30;Indulge in the best Crepe de Salmon in Spain! Try it at Le Petit Bonbon in Córdoba, where you'll enjoy the authentic taste and attentive service from the owners themselves.;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/49106228471.jpg;;65;4;0;User11;@user11;Sharing moments that matter;https://ui-avatars.com/api/?name=User11&size=150&background=random;13657;0;0;;pair_g1_A;12;49106228471;resample
11;24.10.26 22:30;Creêp de Salmon La mejores Creêp de España Cordoba, Av del brillante C/ Peta Emilio Prados. Donde tendras la atencion de sus propios dueños..  con esta imagen reclama tu extra de frutas o toping;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/49106228471.jpg;;65;4;0;User11;@user11;Sharing moments that matter;https://ui-avatars.com/api/?name=User11&size=150&background=random;13657;0;0;;pair_g1_B;12;49106228471;origin
12;23.04.26 14:45;Dressed to impress! 🚗✨ #StyleOnTheGo #Fashionista;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/37511418692.jpg;;71;0;0;User12;@user12;Sharing moments that matter;https://ui-avatars.com/api/?name=User12&size=150&background=random;11673;0;0;;pair_g1_A;14;37511418692;resample
12;23.04.26 14:45;Photo via Instagram;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/37511418692.jpg;;71;0;0;User12;@user12;Sharing moments that matter;https://ui-avatars.com/api/?name=User12&size=150&background=random;11673;0;0;;pair_g1_B;14;37511418692;origin
13;25.07.26 20:45;FEMA Chief W. Craig Fugate: How Climate Change Shapes Our Response to Natural Disasters;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/37471435672.jpg;;16;3;4;User13;@user13;Sharing moments that matter;https://ui-avatars.com/api/?name=User13&size=150&background=random;6495;0;0;;pair_g1_A;10;37471435672;resample
13;25.07.26 20:45;Obama s FEMA chief: To rebuild after hurricanes, let s talk climate change via Grist;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/37471435672.jpg;;16;3;4;User13;@user13;Sharing moments that matter;https://ui-avatars.com/api/?name=User13&size=150&background=random;6495;0;0;;pair_g1_B;10;37471435672;origin
14;13.07.26 09:15;Capture : Sawdia Rakib  Flower  Device : Primo NX4;https://media.githubusercontent.com/media/Lushanhr/SocialMediaExp/refs/heads/main/test_images_811/37469153312.jpg;;56;5;3;User14;@user14;Sharing moments that matter;https://ui-avatars.com/api/?name=User14&size=150&background=random;14796;0;0;;pair_g1_A;6;37469153312;origin
